Index,Sort_ID,ID,Text_Unit_ID,Stressed_Unit,Morph,Lemma,Analysis,Rel,Trans,Part_Of_Speech,Meaning,Textual_Unit,Translation
1,2,115986,S0021-1,opad,opad,opad,nom.sg.,,,verbal_noun,"the act of refusing, rejecting, declining; refusal, rejection",.i. opad fidei trinitatis . ,"that is, rejection of the faith of the Trinity"
2,3,115987,S0021-1,fidei,fidei,fidēs,gen.sg.,,,noun,"faith, belief; reliance; confidence, trust",.i. opad fidei trinitatis . ,"that is, rejection of the faith of the Trinity"
3,4,115988,S0021-1,trinitatis,trinitatis,trīnitās,gen.sg.,,,noun,the number three; triad; trinity,.i. opad fidei trinitatis . ,"that is, rejection of the faith of the Trinity"
4,1,139964,S0021-1,.i.,.i.,.i.,,,,,"id est, it is",.i. opad fidei trinitatis . ,"that is, rejection of the faith of the Trinity"
5,2,116033,S0021-10,iar súnd,iar,íar 1,,,,preposition,"after, behind, across, along, beyond, according to",.i. iarsúnd,"that is, after this"
6,3,116034,S0021-10,iar súnd,súnd,sund,,,,adverb,"here, in this place; hither, to this place",.i. iarsúnd,"that is, after this"
7,1,139969,S0021-10,.i.,.i.,.i.,,,,,"id est, it is",.i. iarsúnd,"that is, after this"
8,2,116533,S0021-100,insarta,insarta,insartae,nom.sg.,,,verbal_participle,"driven, cast out",.i. insarta .i. inucht nachaili,"that is, struck against, namely, into someone else's breast"
9,4,116534,S0021-100,i n-ucht,i,i,acc.,,,preposition,"in, into",.i. insarta .i. inucht nachaili,"that is, struck against, namely, into someone else's breast"
10,5,116535,S0021-100,i n-ucht,nucht,ucht,acc.sg.,,,noun,"breast, bosom; lap",.i. insarta .i. inucht nachaili,"that is, struck against, namely, into someone else's breast"
11,6,116536,S0021-100,nach aili,nach,nach 1,gen.sg.masc.,,,adjective_pronominal,"any, every, each, some, none",.i. insarta .i. inucht nachaili,"that is, struck against, namely, into someone else's breast"
12,7,116537,S0021-100,nach aili,aili,aile 1,gen.sg.masc.,,,adjective_pronominal,"other, another, else, second",.i. insarta .i. inucht nachaili,"that is, struck against, namely, into someone else's breast"
13,1,140017,S0021-100,.i.,.i.,.i.,,,,,"id est, it is",.i. insarta .i. inucht nachaili,"that is, struck against, namely, into someone else's breast"
14,3,140018,S0021-100,.i.,.i.,.i.,,,,,"id est, it is",.i. insarta .i. inucht nachaili,"that is, struck against, namely, into someone else's breast"
15,2,116538,S0021-101,tét,tét,tét,nom.sg.,,,noun,"string of a musical instrument; rope, cord",.i. tét fidbaicc,"that is, a string of a bow"
16,5,116539,S0021-101,fidbaicc,fidbaicc,fidbocc,gen.sg.,,,noun,"archer’s bow, wooden bow, rainbow",.i. tét fidbaicc,"that is, a string of a bow"
17,3,116540,S0021-101,fidbaicc,fid,fid,compos.,,,noun,"tree, wood, grove ",.i. tét fidbaicc,"that is, a string of a bow"
18,4,116541,S0021-101,fidbaicc,baicc,bacc,gen.sg.,,,noun,"mattock, grub-hoe, bill-hook, sickle ; angle, bend, corner; hook; hindrance",.i. tét fidbaicc,"that is, a string of a bow"
19,1,140019,S0021-101,.i.,.i.,.i.,,,,,"id est, it is",.i. tét fidbaicc,"that is, a string of a bow"
20,2,116542,S0021-102,caisin,caisin,immcaisiu,acc.sg.,,,verbal_noun,"the act of looking around, surveying, beholding, examining, contemplating; consideration, gaze, vision, eye, sight, sign, appearance",.i. Caisin sochmacht,"that is, a powerful vision"
21,3,116543,S0021-102,sochmacht,sochmacht,sochmacht,acc.sg.fem.,,,adjective,"capable, possible",.i. Caisin sochmacht,"that is, a powerful vision"
22,1,140020,S0021-102,.i.,.i.,.i.,,,,,"id est, it is",.i. Caisin sochmacht,"that is, a powerful vision"
23,4,116544,S0021-103,ad·rodamar,ad·rodamar,ad·daim,augm.1sg.pret.,,,verb,"to acknowledge, to admit, to concede, to confess, grant; to avow, declare",.i. adrodamar,"That is, I have conceded."
24,2,116545,S0021-103,ad·rodamar,ad·,ad· 1,,,,particle_preverb,aspectual and lexicalized meanings,.i. adrodamar,"That is, I have conceded."
25,3,116546,S0021-103,ad·rodamar,·ro,ro· 2,,,,particle_augment,"with pres. ind. and subj. with perfective sense; to express potentiality or possibility, with all forms of the verb ; perfective augment",.i. adrodamar,"That is, I have conceded."
26,1,140021,S0021-103,.i.,.i.,.i.,,,,,"id est, it is",.i. adrodamar,"That is, I have conceded."
27,1,116547,S0021-104,in rembic,in,in 1,dat.sg.neut.,,,definite_article,"the, definite article",inrembic,a little before
28,4,116548,S0021-104,in rembic,rembic,rembiuc,dat.sg.neut.,,,adverb,a little before,inrembic,a little before
29,2,116549,S0021-104,in rembic,rem,rem-,compos.,,,particle_prefix,"before, preceding ; before, pre-",inrembic,a little before
30,3,116550,S0021-104,in rembic,bic,bec,dat.sg.neut.,,,adjective,"small, little of size or quantity",inrembic,a little before
31,2,116551,S0021-105,sechi leth,sechi,sechi,,,,pronoun_indefinite,"whoever, whatever, whichever",.i. sechileth,"that is, whichever direction"
32,3,116552,S0021-105,sechi leth,leth,leth,nom.sg.,,,noun,"half, side, direction, in compounds: half-, semi-, quasi- ",.i. sechileth,"that is, whichever direction"
33,1,140022,S0021-105,.i.,.i.,.i.,,,,,"id est, it is",.i. sechileth,"that is, whichever direction"
34,2,116553,S0021-106,naicc,naicc,naicc,,,,interjection,"no, not",.i. naicc .i. negabo,"That is, not; that is, I will deny."
35,4,116554,S0021-106,negabo,negabo,negō,1sg.fut.,,unclear,verb,I deny,.i. naicc .i. negabo,"That is, not; that is, I will deny."
36,1,140023,S0021-106,.i.,.i.,.i.,,,,,"id est, it is",.i. naicc .i. negabo,"That is, not; that is, I will deny."
37,3,140024,S0021-106,.i.,.i.,.i.,,,,,"id est, it is",.i. naicc .i. negabo,"That is, not; that is, I will deny."
38,2,116555,S0021-107,fiu,fiu,fíu,nom.sg.fem.,,,adjective,"worthy, meet, fitting, honorable",.i. fiu,"that is, as"
39,1,140025,S0021-107,.i.,.i.,.i.,,,,,"id est, it is",.i. fiu,"that is, as"
40,2,116556,S0021-108,in ind ala n-ai,in,in 2,,,,particle_interrogative,question particle,.i. in indalanai .i. interrogatio,"That is, is it the two of them? That is, a question."
41,3,116557,S0021-108,in ind ala n-ai,∅,is 1,3sg.pres.ind.,,intrans.,verb,"to be, the copula",.i. in indalanai .i. interrogatio,"That is, is it the two of them? That is, a question."
42,4,116558,S0021-108,in ind ala n-ai,ind,in 1,nom.sg.neut.,,,definite_article,"the, definite article",.i. in indalanai .i. interrogatio,"That is, is it the two of them? That is, a question."
43,5,116559,S0021-108,in ind ala n-ai,ala,ala,nom.sg.neut.,,,adjective_pronominal,"the other, one another ; else; second",.i. in indalanai .i. interrogatio,"That is, is it the two of them? That is, a question."
44,6,116560,S0021-108,in ind ala n-ai,nai,3pl.indp.pron.,gen.,,,pronoun_independent,"they, them",.i. in indalanai .i. interrogatio,"That is, is it the two of them? That is, a question."
45,8,116561,S0021-108,interrogatio,interrogatio,interrogātiō,nom.sg.,,,noun,"questioning, inquiry, interrogation, examination",.i. in indalanai .i. interrogatio,"That is, is it the two of them? That is, a question."
46,1,140026,S0021-108,.i.,.i.,.i.,,,,,"id est, it is",.i. in indalanai .i. interrogatio,"That is, is it the two of them? That is, a question."
47,7,140027,S0021-108,.i.,.i.,.i.,,,,,"id est, it is",.i. in indalanai .i. interrogatio,"That is, is it the two of them? That is, a question."
48,4,116562,S0021-109,frisa·ber,frisa·ber,fris·beir,1sg.pres.subj.,Yes,,verb,"to oppose, to resist, to obstruct ",.i. frisaber,"that is, what I should resist"
49,2,116563,S0021-109,frisa·ber,fris,fris·,,,,particle_preverb,aspectual and lexicalized meanings,.i. frisaber,"that is, what I should resist"
50,3,116564,S0021-109,frisa·ber,a·,nas.rel.particle,,,,particle_relative,nasalising relative particle,.i. frisaber,"that is, what I should resist"
51,1,140028,S0021-109,.i.,.i.,.i.,,,,,"id est, it is",.i. frisaber,"that is, what I should resist"
52,2,116035,S0021-11,sechi ó óenrainn,sechi,sechi,,,,pronoun_indefinite,"whoever, whatever, whichever",.i. sechió óenrainn,"that is, from whatever single part"
53,3,116036,S0021-11,sechi ó óenrainn,ó,ó 1,dat.,,,preposition,"from, out of, by",.i. sechió óenrainn,"that is, from whatever single part"
54,6,116037,S0021-11,sechi ó óenrainn,óenrainn,óenrann,dat.sg.,,,noun,"single part, single portion",.i. sechió óenrainn,"that is, from whatever single part"
55,4,116038,S0021-11,sechi ó óenrainn,óen,óen,compos.,,,adjective_numeral_noun,"one, single, same, only, unique; as compound element 'great'  (O'Rahilly Celtica 12.194)",.i. sechió óenrainn,"that is, from whatever single part"
56,5,116039,S0021-11,sechi ó óenrainn,rainn,rann 1,dat.sg.,,,noun,"part, share, division, part (of speech), portion",.i. sechió óenrainn,"that is, from whatever single part"
57,1,139970,S0021-11,.i.,.i.,.i.,,,,,"id est, it is",.i. sechió óenrainn,"that is, from whatever single part"
58,1,116565,S0021-110,sigide,sigide,sigide,nom.sg.,,,noun,"pertinacity, obstinacy, persistance",sigide imresin .i. uitium,"pertinacity of the contest, that is, vitium"
