Index,Sort_ID,ID,Text_Unit_ID,Stressed_Unit,Morph,Lemma,Analysis,Rel,Trans,Part_Of_Speech,Meaning,Textual_Unit,Translation
1,1,116573,S0022-1,ar is airchenn,ar,ar 2,,,,conjunction,"causal: since, for; final: so that",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
2,2,116574,S0022-1,ar is airchenn,is,is 1,3sg.pres.ind.,No,intrans.,verb,"to be, the copula",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
3,3,116575,S0022-1,ar is airchenn,airchenn,airchenn,nom.sg.neut.,,,adjective,"prominent, leading ; certain, definite, fixed",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
4,4,116576,S0022-1,ṁbes,∅,nas.rel.particle,,,,particle_relative,nasalising relative particle,arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
5,5,116577,S0022-1,ṁbes,mbes,ad·tá,3sg.pres.subj.rel.,Yes,intrans.,verb,"to be, to exist, ",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
6,6,116578,S0022-1,salt,salt,salt,nom.sg.,,,noun,leap,arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
7,7,116579,S0022-1,hi ciunn,hi,i,dat.,,,preposition,"in, into",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
8,8,116580,S0022-1,hi ciunn,ciunn,cenn 1,dat.sg.,,,noun,"head; end-point, termination, exchange, purchase",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
9,9,116581,S0022-1,nóidécdi,nóidécdi,noídécde,gen.sg.neut.,,,adjective,related to the number nineteen,arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
10,10,116582,S0022-1,mad i ndib ṅ-uarib,ma,ma,,,,conjunction,"conditional: if, according to; ""unless"" with negative and subjunctive verb",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
